article_id,apa,sort_key,year,journal,hypotheses
Li2014a,"Li, N., Richardson, S., & Tuna, I. (2014). Macro to micro: Country exposures, firm fundamentals and stock returns. *Journal of Accounting and Economics*, *58*(1), 1–20.","li, n., richardson, s., & tuna, i.2014",2014,Journal of Accounting and Economics,2
Li2010,"Li, S. (2010). Does mandatory adoption of international financial reporting standards in the European Union Reduce the cost of equity capital? *The Accounting Review*, *85*(2), 607–636.","li, s.2010",2010,The Accounting Review,1
Li2016,"Li, X., & Yang, H. I. (2016). Mandatory financial reporting and voluntary disclosure: The effect of mandatory IFRS adoption on management forecasts. *The Accounting Review*, *91*(3), 933–953.","li, x., & yang, h. i.2016",2016,The Accounting Review,2
Li2021a,"Li, X., Ng, J., & Saffar, W. (2021). Financial Reporting and Trade Credit: Evidence from Mandatory IFRS Adoption. *Contemporary Accounting Research*, *38*(1), 96–128.","li, x., ng, j., & saffar, w.2021",2021,Contemporary Accounting Research,1
Li2014,"Li, X. (2014). The Sarbanes-Oxley act and cross-listed foreign private issuers. *Journal of Accounting and Economics*, *58*(1), 21–40.","li, x.2014",2014,Journal of Accounting and Economics,2
Liao2022,"Liao, C., Tsang, A., Wang, K. T., & Zhu, N. Z. (2022). Corporate Governance Reforms and Cross‐Listings: International Evidence. *Contemporary Accounting Research*, *39*(1), 537–576.","liao, c., tsang, a., wang, k. t., & zhu, n. z.2022",2022,Contemporary Accounting Research,4
Loureiro2015,"Loureiro, G., & Taboada, A. G. (2015). Do Improvements in the Information Environment Enhance Insiders' Ability to Learn from Outsiders? *Journal of Accounting Research*, *53*(4), 863–905.","loureiro, g., & taboada, a. g.2015",2015,Journal of Accounting Research,6
Lundholm2014,"Lundholm, R. J., Rogo, R., & Zhang, J. L. (2014). Restoring the tower of babel: How foreign firms communicate with U.S. Investors. *The Accounting Review*, *89*(4), 1453–1485.","lundholm, r. j., rogo, r., & zhang, j. l.2014",2014,The Accounting Review,12
Muller2015,"M\""uller, M. A., Riedl, E. J., & Sellhorn, T. (2015). Recognition versus Disclosure of Fair Values. *The Accounting Review*, *90*(6), 2411–2447.","m\""uller, m. a., riedl, e. j., & sellhorn, t.2015",2015,The Accounting Review,3
Maffett2022,"Maffett, M., Nakhmurina, A., & Skinner, D. J. (2022). Importing activists: Determinants and consequences of increased cross-border shareholder activism. *Journal of Accounting and Economics*, *74*(2-3), 101538.","maffett, m., nakhmurina, a., & skinner, d. j.2022",2022,Journal of Accounting and Economics,2
Maffett2012,"Maffett, M. (2012). Financial reporting opacity and informed trading by international institutional investors. *Journal of Accounting and Economics*, *54*(2-3), 201–220.","maffett, m.2012",2012,Journal of Accounting and Economics,1
Markle2020,"Markle, K. S., Mills, L. F., & Williams, B. M. (2020). Implicit corporate taxes and income shifting. *The Accounting Review*, *95*(3), 315–342.","markle, k. s., mills, l. f., & williams, b. m.2020",2020,The Accounting Review,3
Markle2016,"Markle, K. S. (2016). A Comparison of the Tax-Motivated Income Shifting of Multinationals in Territorial and Worldwide Countries. *Contemporary Accounting Research*, *33*(1), 7–43.","markle, k. s.2016",2016,Contemporary Accounting Research,2
Maso2020,"Maso, L. D., Lobo, G. J., Mazzi, F., & Paugam, L. (2020). Implications of the Joint Provision of CSR Assurance and Financial Audit for Auditors' Assessment of Going‐Concern Risk. *Contemporary Accounting Research*, *37*(2), 1248–1289.","maso, l. d., lobo, g. j., mazzi, f., & paugam, l.2020",2020,Contemporary Accounting Research,1
Mescall2018,"Mescall, D., & Klassen, K. J. (2018). How Does Transfer Pricing Risk Affect Premiums in Cross-Border Mergers and Acquisitions? *Contemporary Accounting Research*, *35*(2), 830–865.","mescall, d., & klassen, k. j.2018",2018,Contemporary Accounting Research,2
Michas2011,"Michas, P. N. (2011). The importance of audit profession development in emerging market countries. *The Accounting Review*, *86*(5), 1731–1764.","michas, p. n.2011",2011,The Accounting Review,2
Na2022,"Na, K., & Yan, W. (2022). Languages and corporate tax avoidance. *Review of Accounting Studies*, *27*(1), 148–184.","na, k., & yan, w.2022",2022,Review of Accounting Studies,1
Naughton2018,"Naughton, J. P., Rogo, R., Sunder, J., & Zhang, R. (2018). SEC monitoring of foreign firms' disclosures in the presence of foreign regulators. *Review of Accounting Studies*, *23*(4), 1355–1388.","naughton, j. p., rogo, r., sunder, j., & zhang, r.2018",2018,Review of Accounting Studies,2
Neel2017,"Neel, M. (2017). Accounting Comparability and Economic Outcomes of Mandatory IFRS Adoption. *Contemporary Accounting Research*, *34*(1), 658–690.","neel, m.2017",2017,Contemporary Accounting Research,12
Overesch2021,"Overesch, M., & Wolff, H. (2021). Financial Transparency to the Rescue: Effects of Public Country‐by‐Country Reporting in the European Union Banking Sector on Tax Avoidance. *Contemporary Accounting Research*, *38*(3), 1616–1642.","overesch, m., & wolff, h.2021",2021,Contemporary Accounting Research,1
Ozkan2012,"Ozkan, N., Singer, Z., & You, H. (2012). Mandatory IFRS Adoption and the Contractual Usefulness of Accounting Information in Executive Compensation. *Journal of Accounting Research*, *50*(4), 1077–1107.","ozkan, n., singer, z., & you, h.2012",2012,Journal of Accounting Research,4
Peek2010,"Peek, E., Cuijpers, R., & Buijink, W. (2010). Creditors' and Shareholders' Reporting Demands in Public Versus Private Firms: Evidence from Europe. *Contemporary Accounting Research*, *27*(1), 2–2.","peek, e., cuijpers, r., & buijink, w.2010",2010,Contemporary Accounting Research,3
Pincus2007,"Pincus, M., Rajgopal, S., & Venkatachalam, M. (2007). The Accrual Anomaly: International Evidence. *The Accounting Review*, *82*(1), 169–203.","pincus, m., rajgopal, s., & venkatachalam, m.2007",2007,The Accounting Review,1
Pownall2018,"Pownall, G., & Wieczynska, M. (2018). Deviations from the Mandatory Adoption of IFRS in the European Union: Implementation, Enforcement, Incentives, and Compliance. *Contemporary Accounting Research*, *35*(2), 1029–1066.","pownall, g., & wieczynska, m.2018",2018,Contemporary Accounting Research,3
Ramanna2014,"Ramanna, K., & Sletten, E. (2014). Network effects in countries' adoption of IFRS. *The Accounting Review*, *89*(4), 1517–1543.","ramanna, k., & sletten, e.2014",2014,The Accounting Review,1
Rauter2020,"Rauter, T. (2020). The Effect of Mandatory Extraction Payment Disclosures on Corporate Payment and Investment Policies Abroad. *Journal of Accounting Research*, *58*(5), 1075–1116.","rauter, t.2020",2020,Journal of Accounting Research,2
Simnett2009,"S\`imnett, R., Vanstraelen, A., & Chua, W. F. (2009). Assurance on sustainability reports: An international comparison. *The Accounting Review*, *84*(3), 937–967.","s\`imnett, r., vanstraelen, a., & chua, w. f.2009",2009,The Accounting Review,4
Serafeim2011,"Serafeim, G. (2011). Consequences and Institutional Determinants of Unregulated Corporate Financial Statements: Evidence from Embedded Value Reporting. *Journal of Accounting Research*, *49*(2), 529–571.","serafeim, g.2011",2011,Journal of Accounting Research,6
Shevlin2019,"Shevlin, T., Shivakumar, L., & Urcan, O. (2019). Macroeconomic effects of corporate tax policy. *Journal of Accounting and Economics*, *68*(1), 101233.","shevlin, t., shivakumar, l., & urcan, o.2019",2019,Journal of Accounting and Economics,3
Shi2013,"Shi, C., Pukthuanthong, K., & Walker, T. (2013). Does Disclosure Regulation Work? Evidence from International IPO Markets. *Contemporary Accounting Research*, *30*(1), 356–387.","shi, c., pukthuanthong, k., & walker, t.2013",2013,Contemporary Accounting Research,1
Shroff2014,"Shroff, N., Verdi, R. S., & Yu, G. (2014). Information environment and the investment decisions of multinational corporations. *The Accounting Review*, *89*(2), 759–790.","shroff, n., verdi, r. s., & yu, g.2014",2014,The Accounting Review,4
Shroff2019,"Shroff, N. (2019). Real effects of PCAOB international inspections. *The Accounting Review*, *95*(5), 399–433.","shroff, n.2019",2019,The Accounting Review,4
Silvers2016,"Silvers, R. (2016). The Valuation Impact of SEC Enforcement Actions on Nontarget Foreign Firms. *Journal of Accounting Research*, *54*(1), 187–234.","silvers, r.2016",2016,Journal of Accounting Research,1
Srivastav2017,"Srivastav, A., Keasey, K., Mollah, S., & Vallascas, F. (2017). CEO turnover in large banks: Does tail risk matter? *Journal of Accounting and Economics*, *64*(1), 37–55.","srivastav, a., keasey, k., mollah, s., & vallascas, f.2017",2017,Journal of Accounting and Economics,1
Tsang2019,"Tsang, A., Xie, F., & Xin, X. (2019). Foreign institutional investors and corporate voluntary disclosure around the world. *The Accounting Review*, *94*(5), 319–348.","tsang, a., xie, f., & xin, x.2019",2019,The Accounting Review,5
Wang2014,"Wang, C. (2014). Accounting standards harmonization and financial statement comparability: Evidence from transnational information transfer. *Journal of Accounting Research*, *52*(4), 955–992.","wang, c.2014",2014,Journal of Accounting Research,4
Wang2011,"Wang, S., & Welker, M. (2011). Timing Equity Issuance in Response to Information Asymmetry Arising from IFRS Adoption in Australia and Europe. *Journal of Accounting Research*, *49*(1), 257–307.","wang, s., & welker, m.2011",2011,Journal of Accounting Research,4
Williams2018,"Williams, B. M. (2018). Multinational tax incentives and offshored U.S. jobs. *The Accounting Review*, *93*(5), 293–324.","williams, b. m.2018",2018,The Accounting Review,4
Wu2019,"Wu, J. S., & Zhang, I. X. (2019). Mandatory IFRS Adoption and the Role of Accounting Earnings in CEO Turnover. *Contemporary Accounting Research*, *36*(1), 168–197.","wu, j. s., & zhang, i. x.2019",2019,Contemporary Accounting Research,6
Yip2012,"Yip, R. W.Y., & Young, D. (2012). Does mandatory IFRS adoption improve information comparability? *The Accounting Review*, *87*(5), 1767–1789.","yip, r. w.y., & young, d.2012",2012,The Accounting Review,1
Young2003,"Young, D., & Guenther, D. A. (2003). Financial Reporting Environments and International Capital Mobility. *Journal of Accounting Research*, *41*(3), 553–579.","young, d., & guenther, d. a.2003",2003,Journal of Accounting Research,1
Young2015,"Young, S., & Zeng, Y. (2015). Accounting Comparability and the Accuracy of Peer-Based Valuation Models. *The Accounting Review*, *90*(6), 2571–2601.","young, s., & zeng, y.2015",2015,The Accounting Review,1
Yu2014,"Yu, G., & Wahid, A. S. (2014). Accounting standards and international portfolio holdings. *The Accounting Review*, *89*(5), 1895–1930.","yu, g., & wahid, a. s.2014",2014,The Accounting Review,2
Zeng2022,"Zeng, W., Lillis, A. M., Grafton, J., & Dekker, H. C. (2022). The Influence of Institutional Differences on Control Mechanisms in Alliances. *The Accounting Review*, *97*(3), 415–441.","zeng, w., lillis, a. m., grafton, j., & dekker, h. c.2022",2022,The Accounting Review,1
Zhang2018,"Zhang, I. X., & Zhang, Y. (2018). Insider Trading Restrictions and Insiders' Supply of Information: Evidence from Earnings Smoothing. *Contemporary Accounting Research*, *35*(2), 898–929.","zhang, i. x., & zhang, y.2018",2018,Contemporary Accounting Research,2
Zhang2007,"Zhang, I. X. (2007). Economic consequences of the Sarbanes-Oxley Act of 2002. *Journal of Accounting and Economics*, *44*(1-2), 74–115.","zhang, i. x.2007",2007,Journal of Accounting and Economics,6
Zhong2018,"Zhong, R. (2018). Transparency and firm innovation. *Journal of Accounting and Economics*, *66*(1), 67–93.","zhong, r.2018",2018,Journal of Accounting and Economics,9
